@ TYPE             %05s "TWISS"
@ TITLE            %09s "CNAO SYNC"
@ ORIGIN           %18s "5.03.04 Windows 64"
@ DATE             %08s "11/09/17"
@ TIME             %08s "16.08.31"
* CyCo BP EdipInj EdipExtr S2kinj s2kextr S3kinj s3kextr S4kinj s4kextr S6 S8 S9 S0_29Acc S0_29FT S2_08Acc S2_08FT SC_08Acc SC_08FT SC_21Acc SC_21FT SE_16Acc SE_16FT BumpVert S4_08Acc S4_08FT S6_14Acc S6_14FT S8_08Acc S8_08FT S8_35Acc S8_35FT SA_08Acc SA_08FT
$ %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le
39 88 7.134663 206.2124755 0.47434 0.49773 0.34618 0.310218371287926 0.52017 0.533569503030355 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
40 90 7.134663 208.8510042 0.47434 0.49773 0.34618 0.310244491127378 0.52017 0.533579488658346 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
41 92 7.134663 211.4678546 0.47434 0.49773 0.34618 0.310241092317682 0.52017 0.533578189291659 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
42 94 7.134663 214.0635585 0.47434 0.49773 0.34618 0.310259433199087 0.52017 0.533585280217466 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
43 96 7.134663 216.6386284 0.47434 0.49773 0.34618 0.310255900397365 0.52017 0.533583908607571 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
44 98 7.134663 219.1935646 0.47434 0.49773 0.34618 0.31025250859523 0.52017 0.533582445875923 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
45 100 7.134663 221.7288627 0.47434 0.49773 0.34618 0.310249269993861 0.52017 0.533581207807053 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
46 102 7.134663 224.2450197 0.47434 0.49773 0.34618 0.310266441513885 0.52017 0.533587910239889 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
47 104 7.134663 226.7425422 0.47434 0.49773 0.34618 0.310263140691342 0.52017 0.533586652233465 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
48 106 7.134663 229.2219529 0.47434 0.49773 0.34618 0.310281293457126 0.52017 0.533593436575812 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
49 108 7.134663 231.6223767 0.47434 0.49773 0.34618 0.310278311285061 0.52017 0.533592450008815 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
